step	post	likelihood	prior	alpha.dogs	alpha.cows	alpha.asymp
18200	-22.47866	-22.47866	0	0.1579388	0.09729574	0.7447655
18400	-21.29853	-21.29853	0	0.02801302	0.229583	0.742404
18600	-21.95724	-21.95724	0	0.04255511	0.1127075	0.8447374
18800	-22.81107	-22.81107	0	0.06035705	0.3147351	0.6249079
19000	-21.21777	-21.21777	0	0.02511442	0.2159563	0.7589293
19200	-22.34318	-22.34318	0	0.102331	0.2213596	0.6763094
19400	-22.35801	-22.35801	0	0.1025816	0.2223156	0.6751028
19600	-21.86437	-21.86437	0	0.007057431	0.3230896	0.6698529
19800	-22.72911	-22.72911	0	0.1304756	0.2094037	0.6601207
20000	-24.60929	-24.60929	0	0.2039772	0.221313	0.5747097
20200	-22.71984	-22.71984	0	0.1692051	0.06115771	0.7696371
20400	-22.81362	-22.81362	0	0.1471207	0.04803345	0.8048458
20600	-23.07001	-23.07001	0	0.203069	0.1058771	0.6910539
20800	-21.49744	-21.49744	0	0.01382349	0.1462555	0.8399211
21000	-23.75051	-23.75051	0	0.2207016	0.1437897	0.6355087
21200	-21.92656	-21.92656	0	0.1039986	0.1373961	0.7586054
21400	-21.37649	-21.37649	0	0.009276972	0.2772212	0.7135018
21600	-21.31255	-21.31255	0	5.94812e-05	0.2851569	0.7147836
21800	-22.00811	-22.00811	0	0.009612666	0.3298543	0.6605331
22000	-21.28027	-21.28027	0	0.03407767	0.187962	0.7779603
22200	-23.63282	-23.63282	0	0.2234513	0.1291521	0.6473967
22400	-22.48363	-22.48363	0	0.03038055	0.3336681	0.6359513
22600	-21.47503	-21.47503	0	0.05121763	0.1593293	0.789453
22800	-22.711	-22.711	0	0.05663047	0.3136215	0.629748
23000	-22.21988	-22.21988	0	0.04135045	0.3021996	0.6564499
23200	-24.18458	-24.18458	0	0.1535489	0.2674664	0.5789847
23400	-25.05535	-25.05535	0	0.2105715	0.2341129	0.5553156
23600	-22.39479	-22.39479	0	0.1301219	0.1763496	0.6935285
23800	-21.43207	-21.43207	0	0.03916949	0.2286112	0.7322193
24000	-21.71311	-21.71311	0	0.0527991	0.24103	0.7061709
24200	-22.25687	-22.25687	0	0.1328338	0.1012254	0.7659407
24400	-21.88652	-21.88652	0	0.09831044	0.1633801	0.7383094
24600	-21.28302	-21.28302	0	0.01941763	0.1673683	0.8132141
24800	-21.90089	-21.90089	0	0.1011617	0.1379224	0.760916
25000	-22.16694	-22.16694	0	0.1187108	0.1679877	0.7133015
25200	-23.30431	-23.30431	0	0.2322644	0.04689766	0.7208379
25400	-21.59037	-21.59037	0	0.04647284	0.2374579	0.7160693
25600	-24.63234	-24.63234	0	0.2001776	0.2276473	0.5721751
25800	-22.25749	-22.25749	0	0.06719734	0.268567	0.6642357
26000	-21.28814	-21.28814	0	0.03456046	0.1849542	0.7804853
26200	-22.77768	-22.77768	0	0.09794318	0.2618897	0.6401671
26400	-21.93221	-21.93221	0	0.101058	0.125845	0.773097
26600	-21.78648	-21.78648	0	0.08983175	0.1581029	0.7520653
26800	-22.8711	-22.8711	0	0.1907729	0.0602328	0.7489943
27000	-21.78805	-21.78805	0	0.07923205	0.1979417	0.7228263
27200	-21.67473	-21.67473	0	0.0771027	0.1745093	0.748388
27400	-21.55183	-21.55183	0	0.06005264	0.1993116	0.7406357
27600	-21.8728	-21.8728	0	0.0515162	0.2597484	0.6887355
27800	-25.41294	-25.41294	0	0.2746143	0.1636079	0.5617778
28000	-21.87747	-21.87747	0	0.09547163	0.1715988	0.7329296
28200	-21.80504	-21.80504	0	0.06627641	0.2274533	0.7062703
28400	-22.65664	-22.65664	0	0.09107651	0.263346	0.6455774
28600	-21.87237	-21.87237	0	0.006530281	0.1267553	0.8667145
28800	-22.94442	-22.94442	0	0.2005036	0.06591776	0.7335787
29000	-21.27222	-21.27222	0	0.01695872	0.2497757	0.7332655
29200	-23.02364	-23.02364	0	0.2009813	0.1032309	0.6957878
29400	-21.27315	-21.27315	0	0.03022256	0.1789511	0.7908263
29600	-21.99238	-21.99238	0	0.09733204	0.1899164	0.7127516
29800	-21.16881	-21.16881	0	0.01925931	0.1905094	0.7902312
30000	-21.42614	-21.42614	0	0.05094378	0.1861372	0.762919
